2015,1825
2024,2233
2012,1907
2003,2111
1998,2017
1995,1991
1997,2004
1996,2197
1995,1859
1981,1977
1976,2152
1965,2094
1964,2090
1964,2220
1948,1905
1928,1979
1925,1977
1915,1880
1923,2121
1920,2214
1920,2032
1928,1960
1936,2095
1933,2068
1952,2123
1955,1912
1966,2007
1979,2171
1981,2099
1980,1951
1994,2071
2000,2192
2003,2091
2008,1961
2010,1947
2024,2081
2026,2115
2041,2003
2059,1951
2067,1886
2096,2025
2105,2021
2119,1849
2121,2063
2132,1993
2135,1813
2148,2106
2145,2203
2148,2224
2152,2219
2155,2013
2168,1974
2170,2135
2169,1920
2182,2091
2197,1849
2197,1931
2213,2053
2228,1981
2224,1905
2222,2048
2221,2136
2231,1965
2223,2003
2199,1965
2205,1923
2196,2063
2180,2211
2172,2003
2163,1819
2152,2220
2160,2019
2143,2171
2133,2282
2129,2071
2121,2080
2119,1988
2115,1969
2095,2165
2086,2228
2080,1907
2059,2291
2065,1957
2041,2183
2024,1914
2027,1911
1996,2251
2004,2133
1999,1879
1989,2055
1992,1925
1981,2112
1963,1949
1965,2135
1927,2161
1954,1673
1947,1995
1941,2065
1940,2143
1923,1785
1915,1999
1915,2037
1913,2115
1920,2200
1924,1948
1915,1984
1937,2239
1953,1993
1945,1938
1953,2038
1976,2502
1984,2203
1995,2056
1996,2284
2000,1917
1994,2123
1986,2021
2010,2170
2006,2123
2006,2045
2023,1817
2028,1898
2040,2279
2035,1956
2043,1933
2067,2163
2076,2057
2088,2211
2087,2025
2094,1807
2115,2140
2107,2255
2117,2074
2120,2198
2115,1881
2120,2015
2133,2135
2144,1829
2137,2082
2143,2197
2137,1881
2144,1869
2156,1933
2152,2092
2154,2067
2161,1800
2156,1981
2151,2206
2155,2089
2138,1899
2141,2030
2136,2043
2139,2215
2123,2272
2125,1687
2103,1967
2112,2071
2103,2075
2093,1887
2103,2109
2093,2363
2088,1979
2080,1918
2071,2032
2043,1964
2060,1992
2037,1984
2032,1841
2026,2069
2009,1811
1997,2329
1996,2191
1977,1995
1971,1882
1968,2089
1963,1975
1962,1831
1952,2151
1945,2233
1953,2045
1944,2012
1953,2221
1946,1950
1947,2009
1956,2106
1944,2208
1952,2027
1942,1951
1942,1813
1947,2023
1945,1969
1947,1981
1955,2017
1961,2039
1960,1913
1963,2023
1963,2165
1979,1770
1979,2089
1999,2174
2008,2025
2015,2016
2029,2027
2040,2231
2056,1941
2053,1960
2071,2015
2072,1912
2075,2329
2081,2103
2079,2135
2091,2079
2095,1907
2097,1843
2101,2069
2120,1867
2115,2407
2137,2215
2141,2160
2158,1818
2173,1900
2185,2109
2191,1837
2191,1843
2186,1952
2195,2219
2203,2387
2210,2215
2195,1609
2200,2219
2201,2076
2195,1792
2202,1843
2195,2111
2181,2184
2198,1779
2196,1932
2185,1939
2192,2080
2163,2015
2169,1979
2167,2076
2147,2314
2156,2184
2132,1680
2105,1933
2119,2166
2094,2032
2088,2084
2094,1977
2065,1983
2067,2300
2067,2208
2051,1839
2042,1992
2033,2078
2020,2091
2036,2138
2009,1849
1995,1959
1990,2129
1977,1898
1965,2137
1968,2019
1956,2165
1961,1697
1957,1866
1956,2297
1963,1811
1952,2103
1947,2197
